*****Sonar Placement GA Expirement*****
Start Time: 2018-01-01 09:46:33.117674
Rand_seed:2
End Time: 2018-01-02 05:02:53.326424
Running Time: 19:16:19.014775
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: complete
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
0, 0, 6.7211063985, 10, 0.203, -0.146, -84, 0.234, 0.116, 39, 0.229, 0.108, 57, 0.237, 0.1, -27, 0.088, -0.136, -41, 0.203, 0.146, 84, 0.234, -0.115, -39, 0.229, -0.107, -57, 0.237, -0.1, 27, 0.088, 0.137, 41, 
0, 1, 3.9682141821, 2, 0.064, -0.131, -85, 0.064, 0.131, 85,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 2, 11.6552356379, 6, 0.046, -0.149, -56, 0.102, 0.15, 56, 0.18, 0.14, 53, 0.046, 0.149, 56, 0.102, -0.15, -56, 0.18, -0.14, -53,  , , ,  , , ,  , , ,  , , , 
0, 3, 2.19768775441, 10, 0.24, 0.118, 1, 0.208, -0.112, -72, 0.106, -0.126, -87, 0.166, -0.133, -85, 0.223, -0.121, -92, 0.24, -0.117, -1, 0.208, 0.112, 72, 0.106, 0.126, 87, 0.166, 0.133, 85, 0.223, 0.122, 92, 
0, 4, 9.97623006263, 8, 0.044, -0.134, -75, 0.182, 0.114, 44, 0.248, 0.042, 0, 0.13, -0.12, -55, 0.044, 0.134, 75, 0.182, -0.113, -44, 0.248, -0.042, 0, 0.13, 0.121, 55,  , , ,  , , , 
0, 5, 11.9074471087, 4, 0.188, -0.119, -43, 0.237, -0.104, -19, 0.188, 0.119, 43, 0.237, 0.105, 19,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 6, 3.25781706713, 8, 0.13, 0.114, 79, 0.205, -0.124, -86, 0.211, 0.076, 5, 0.202, 0.118, 83, 0.13, -0.113, -79, 0.205, 0.124, 86, 0.211, -0.076, -5, 0.202, -0.118, -83,  , , ,  , , , 
0, 7, 10.3852314922, 8, 0.192, 0.101, 53, 0.05, 0.141, 82, 0.138, 0.119, 88, 0.208, -0.148, -34, 0.192, -0.101, -53, 0.05, -0.141, -82, 0.138, -0.119, -88, 0.208, 0.149, 34,  , , ,  , , , 
0, 8, 7.10256422369, 8, 0.206, 0.117, 97, 0.154, -0.113, -86, 0.244, 0.136, 53, 0.233, -0.038, 24, 0.206, -0.117, -97, 0.154, 0.113, 86, 0.244, -0.136, -53, 0.233, 0.038, -24,  , , ,  , , , 
0, 9, 11.298226648, 6, 0.206, -0.12, -39, 0.028, -0.102, -53, 0.221, 0.101, 44, 0.206, 0.121, 39, 0.028, 0.102, 53, 0.221, -0.1, -44,  , , ,  , , ,  , , ,  , , , 
0, 10, 3.54125358223, 2, 0.006, 0.108, 86, 0.006, -0.108, -86,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 11, 10.6646926533, 8, 0.198, -0.103, -90, 0.222, -0.05, -6, 0.24, 0.136, 75, 0.106, -0.15, -41, 0.198, 0.103, 90, 0.222, 0.05, 6, 0.24, -0.136, -75, 0.106, 0.15, 41,  , , ,  , , , 
0, 12, 8.20162336253, 6, 0.146, 0.112, 85, 0.046, 0.111, 64, 0.062, -0.118, -50, 0.146, -0.112, -85, 0.046, -0.11, -64, 0.062, 0.118, 50,  , , ,  , , ,  , , ,  , , , 
0, 13, 9.89023119469, 10, 0.237, -0.129, -51, 0.01, -0.129, -66, 0.018, 0.141, 72, 0.186, -0.119, -54, 0.218, -0.149, -69, 0.237, 0.129, 51, 0.01, 0.129, 66, 0.018, -0.14, -72, 0.186, 0.12, 54, 0.218, 0.15, 69, 
0, 14, 5.16562430652, 2, 0.242, 0.034, 30, 0.242, -0.034, -30,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 15, 11.5839224538, 6, 0.098, -0.139, -70, 0.056, 0.119, 43, 0.152, 0.11, 61, 0.098, 0.14, 70, 0.056, -0.118, -43, 0.152, -0.109, -61,  , , ,  , , ,  , , ,  , , , 
0, 16, 8.75941405629, 4, 0.152, -0.131, -46, 0.016, 0.143, 58, 0.152, 0.131, 46, 0.016, -0.142, -58,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
0, 17, 9.64950815891, 10, 0.201, 0.133, 22, 0.225, 0.118, 54, 0.214, 0.127, 52, 0.241, -0.103, -84, 0.212, -0.002, 15, 0.201, -0.133, -22, 0.225, -0.118, -54, 0.214, -0.127, -52, 0.241, 0.103, 84, 0.212, 0.002, -15, 
