*****Sonar Placement GA Expirement*****
Start Time: 2017-12-30 12:42:23.695899
Rand_seed:15
End Time: 2017-12-31 20:59:34.622821
Running Time: 1 day, 8:16:55.142535
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: complete
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
1, 23, 12.0474096667, 6, 0.184, 0.122, 84, 0.202, 0.12, 40, 0.218, -0.14, -34, 0.184, -0.122, -84, 0.202, -0.119, -40, 0.218, 0.141, 34,  , , ,  , , ,  , , ,  , , , 
1, 0, 9.28227242284, 10, 0.148, 0.108, 40, 0.176, 0.134, 47, 0.212, -0.133, -71, 0.213, -0.054, -22, 0.24, -0.139, -93, 0.148, -0.107, -40, 0.176, -0.134, -47, 0.212, 0.133, 71, 0.213, 0.054, 22, 0.24, 0.139, 93, 
1, 9, 8.268530301, 2, 0.237, -0.145, -84, 0.237, 0.145, 84,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
1, 25, 14.1368756746, 10, 0.233, -0.125, -12, 0.209, 0.147, 14, 0.246, 0.052, -19, 0.054, 0.108, 42, 0.222, 0.05, 6, 0.233, 0.125, 12, 0.209, -0.146, -14, 0.246, -0.052, 19, 0.054, -0.107, -42, 0.222, -0.05, -6, 
1, 2, 11.1127454363, 6, 0.201, -0.143, -17, 0.235, -0.114, -28, 0.178, -0.145, -45, 0.201, 0.143, 17, 0.235, 0.114, 28, 0.178, 0.145, 45,  , , ,  , , ,  , , ,  , , , 
1, 4, 12.0814196119, 6, 0.19, 0.118, 79, 0.242, -0.036, -25, 0.222, -0.086, -25, 0.19, -0.117, -79, 0.242, 0.036, 25, 0.222, 0.086, 25,  , , ,  , , ,  , , ,  , , , 
1, 16, 10.0593052244, 8, 0.132, -0.115, -74, 0.244, -0.01, 20, 0.246, -0.144, -89, 0.214, 0.129, 7, 0.132, 0.115, 74, 0.244, 0.01, -20, 0.246, 0.144, 89, 0.214, -0.129, -7,  , , ,  , , , 
1, 15, 9.19723706074, 10, 0.223, 0.102, 55, 0.158, -0.131, -81, 0.128, -0.112, -48, 0.223, -0.126, -98, 0.104, -0.139, -51, 0.223, -0.101, -55, 0.158, 0.131, 81, 0.128, 0.112, 48, 0.223, 0.126, 98, 0.104, 0.14, 51, 
1, 28, 8.71997690455, 8, 0.25, -0.106, -37, 0.066, 0.109, 47, 0.228, 0.046, 2, 0.233, -0.12, -16, 0.25, 0.106, 37, 0.066, -0.108, -47, 0.228, -0.046, -2, 0.233, 0.12, 16,  , , ,  , , , 
1, 6, 8.25659187752, 2, 0.229, -0.127, -78, 0.229, 0.127, 78,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
1, 25, 14.1368756746, 10, 0.233, -0.125, -12, 0.209, 0.147, 14, 0.246, 0.052, -19, 0.054, 0.108, 42, 0.222, 0.05, 6, 0.233, 0.125, 12, 0.209, -0.146, -14, 0.246, -0.052, 19, 0.054, -0.107, -42, 0.222, -0.05, -6, 
1, 19, 7.64970415181, 4, 0.212, 0.133, 93, 0.235, 0.113, 76, 0.212, -0.133, -93, 0.235, -0.112, -76,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
1, 7, 10.412349915, 6, 0.213, 0.104, 100, 0.233, -0.024, 9, 0.236, 0.13, 69, 0.213, -0.104, -100, 0.233, 0.024, -9, 0.236, -0.13, -69,  , , ,  , , ,  , , ,  , , , 
1, 2, 11.1127454363, 6, 0.201, -0.143, -17, 0.235, -0.114, -28, 0.178, -0.145, -45, 0.201, 0.143, 17, 0.235, 0.114, 28, 0.178, 0.145, 45,  , , ,  , , ,  , , ,  , , , 
2, 44, 15.4176515841, 6, 0.201, -0.143, -17, 0.235, -0.114, -28, 0.178, -0.145, -45, 0.201, 0.143, 17, 0.235, 0.114, 28, 0.178, 0.145, 45,  , , ,  , , ,  , , ,  , , , 
2, 33, 12.2240047658, 2, 0.237, -0.136, -84, 0.237, 0.136, 84,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 22, 12.5001399014, 2, 0.245, -0.108, -64, 0.245, 0.108, 64,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 23, 12.0474096667, 6, 0.184, 0.122, 84, 0.202, 0.12, 40, 0.218, -0.14, -34, 0.184, -0.122, -84, 0.202, -0.119, -40, 0.218, 0.141, 34,  , , ,  , , ,  , , ,  , , , 
2, 15, 9.19723706074, 10, 0.223, 0.102, 55, 0.158, -0.131, -81, 0.128, -0.112, -48, 0.223, -0.126, -98, 0.104, -0.139, -51, 0.223, -0.101, -55, 0.158, 0.131, 81, 0.128, 0.112, 48, 0.223, 0.126, 98, 0.104, 0.14, 51, 
2, 33, 12.2240047658, 2, 0.237, -0.136, -84, 0.237, 0.136, 84,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 31, 11.5585460641, 4, 0.19, 0.118, 79, 0.222, -0.086, -25, 0.19, -0.117, -79, 0.222, 0.086, 25,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 25, 14.1368756746, 10, 0.233, -0.125, -12, 0.209, 0.147, 14, 0.246, 0.052, -19, 0.054, 0.108, 42, 0.222, 0.05, 6, 0.233, 0.125, 12, 0.209, -0.146, -14, 0.246, -0.052, 19, 0.054, -0.107, -42, 0.222, -0.05, -6, 
2, 23, 12.0474096667, 6, 0.184, 0.122, 84, 0.202, 0.12, 40, 0.218, -0.14, -34, 0.184, -0.122, -84, 0.202, -0.119, -40, 0.218, 0.141, 34,  , , ,  , , ,  , , ,  , , , 
2, 38, 8.78538713902, 4, 0.201, -0.143, -17, 0.235, 0.113, 76, 0.201, 0.143, 17, 0.235, -0.112, -76,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 21, 9.21540877905, 10, 0.106, -0.111, -80, 0.231, 0.141, 96, 0.211, 0.118, 61, 0.118, -0.12, -56, 0.233, 0.088, 7, 0.106, 0.112, 80, 0.231, -0.14, -96, 0.211, -0.117, -61, 0.118, 0.121, 56, 0.233, -0.088, -7, 
2, 44, 15.4176515841, 6, 0.201, -0.143, -17, 0.235, -0.114, -28, 0.178, -0.145, -45, 0.201, 0.143, 17, 0.235, 0.114, 28, 0.178, 0.145, 45,  , , ,  , , ,  , , ,  , , , 
2, 27, 8.36047498579, 2, 0.14, -0.143, -72, 0.14, 0.144, 72,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 13, 11.5676764499, 8, 0.236, 0.127, 11, 0.208, 0.074, 27, 0.084, -0.106, -58, 0.1, -0.126, -64, 0.236, -0.127, -11, 0.208, -0.074, -27, 0.084, 0.106, 58, 0.1, 0.126, 64,  , , ,  , , , 
2, 42, 10.6952286336, 10, 0.201, -0.143, -17, 0.209, 0.147, 14, 0.246, 0.052, -19, 0.054, 0.108, 42, 0.222, 0.05, 6, 0.201, 0.143, 17, 0.209, -0.146, -14, 0.246, -0.052, 19, 0.054, -0.107, -42, 0.222, -0.05, -6, 
2, 42, 10.6952286336, 10, 0.201, -0.143, -17, 0.209, 0.147, 14, 0.246, 0.052, -19, 0.054, 0.108, 42, 0.222, 0.05, 6, 0.201, 0.143, 17, 0.209, -0.146, -14, 0.246, -0.052, 19, 0.054, -0.107, -42, 0.222, -0.05, -6, 
2, 31, 11.5585460641, 4, 0.19, 0.118, 79, 0.222, -0.086, -25, 0.19, -0.117, -79, 0.222, 0.086, 25,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 2, 11.1127454363, 6, 0.201, -0.143, -17, 0.235, -0.114, -28, 0.178, -0.145, -45, 0.201, 0.143, 17, 0.235, 0.114, 28, 0.178, 0.145, 45,  , , ,  , , ,  , , ,  , , , 
2, 22, 12.5001399014, 2, 0.245, -0.108, -64, 0.245, 0.108, 64,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 21, 9.21540877905, 10, 0.106, -0.111, -80, 0.231, 0.141, 96, 0.211, 0.118, 61, 0.118, -0.12, -56, 0.233, 0.088, 7, 0.106, 0.112, 80, 0.231, -0.14, -96, 0.211, -0.117, -61, 0.118, 0.121, 56, 0.233, -0.088, -7, 
2, 21, 9.21540877905, 10, 0.106, -0.111, -80, 0.231, 0.141, 96, 0.211, 0.118, 61, 0.118, -0.12, -56, 0.233, 0.088, 7, 0.106, 0.112, 80, 0.231, -0.14, -96, 0.211, -0.117, -61, 0.118, 0.121, 56, 0.233, -0.088, -7, 
2, 42, 10.6952286336, 10, 0.201, -0.143, -17, 0.209, 0.147, 14, 0.246, 0.052, -19, 0.054, 0.108, 42, 0.222, 0.05, 6, 0.201, 0.143, 17, 0.209, -0.146, -14, 0.246, -0.052, 19, 0.054, -0.107, -42, 0.222, -0.05, -6, 
2, 16, 10.0593052244, 8, 0.132, -0.115, -74, 0.244, -0.01, 20, 0.246, -0.144, -89, 0.214, 0.129, 7, 0.132, 0.115, 74, 0.244, 0.01, -20, 0.246, 0.144, 89, 0.214, -0.129, -7,  , , ,  , , , 
2, 45, 7.00232826924, 6, 0.132, -0.115, -74, 0.235, -0.114, -28, 0.178, -0.145, -45, 0.132, 0.115, 74, 0.235, 0.114, 28, 0.178, 0.145, 45,  , , ,  , , ,  , , ,  , , , 
2, 7, 10.412349915, 6, 0.213, 0.104, 100, 0.233, -0.024, 9, 0.236, 0.13, 69, 0.213, -0.104, -100, 0.233, 0.024, -9, 0.236, -0.13, -69,  , , ,  , , ,  , , ,  , , , 
2, 16, 10.0593052244, 8, 0.132, -0.115, -74, 0.244, -0.01, 20, 0.246, -0.144, -89, 0.214, 0.129, 7, 0.132, 0.115, 74, 0.244, 0.01, -20, 0.246, 0.144, 89, 0.214, -0.129, -7,  , , ,  , , , 
2, 33, 12.2240047658, 2, 0.237, -0.136, -84, 0.237, 0.136, 84,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 13, 11.5676764499, 8, 0.236, 0.127, 11, 0.208, 0.074, 27, 0.084, -0.106, -58, 0.1, -0.126, -64, 0.236, -0.127, -11, 0.208, -0.074, -27, 0.084, 0.106, 58, 0.1, 0.126, 64,  , , ,  , , , 
2, 16, 10.0593052244, 8, 0.132, -0.115, -74, 0.244, -0.01, 20, 0.246, -0.144, -89, 0.214, 0.129, 7, 0.132, 0.115, 74, 0.244, 0.01, -20, 0.246, 0.144, 89, 0.214, -0.129, -7,  , , ,  , , , 
2, 2, 11.1127454363, 6, 0.201, -0.143, -17, 0.235, -0.114, -28, 0.178, -0.145, -45, 0.201, 0.143, 17, 0.235, 0.114, 28, 0.178, 0.145, 45,  , , ,  , , ,  , , ,  , , , 
3, 56, 14.4780442449, 8, 0.201, -0.143, -17, 0.246, 0.052, -19, 0.054, 0.108, 42, 0.222, 0.05, 6, 0.201, 0.143, 17, 0.246, -0.052, 19, 0.054, -0.107, -42, 0.222, -0.05, -6,  , , ,  , , , 
3, 42, 10.6952286336, 10, 0.201, -0.143, -17, 0.209, 0.147, 14, 0.246, 0.052, -19, 0.054, 0.108, 42, 0.222, 0.05, 6, 0.201, 0.143, 17, 0.209, -0.146, -14, 0.246, -0.052, 19, 0.054, -0.107, -42, 0.222, -0.05, -6, 
3, 56, 14.4780442449, 8, 0.201, -0.143, -17, 0.246, 0.052, -19, 0.054, 0.108, 42, 0.222, 0.05, 6, 0.201, 0.143, 17, 0.246, -0.052, 19, 0.054, -0.107, -42, 0.222, -0.05, -6,  , , ,  , , , 
3, 64, 3.85859410917, 6, 0.132, -0.115, -74, 0.233, -0.024, 9, 0.236, 0.13, 69, 0.132, 0.115, 74, 0.233, 0.024, -9, 0.236, -0.13, -69,  , , ,  , , ,  , , ,  , , , 
3, 56, 14.4780442449, 8, 0.201, -0.143, -17, 0.246, 0.052, -19, 0.054, 0.108, 42, 0.222, 0.05, 6, 0.201, 0.143, 17, 0.246, -0.052, 19, 0.054, -0.107, -42, 0.222, -0.05, -6,  , , ,  , , , 
3, 2, 11.1127454363, 6, 0.201, -0.143, -17, 0.235, -0.114, -28, 0.178, -0.145, -45, 0.201, 0.143, 17, 0.235, 0.114, 28, 0.178, 0.145, 45,  , , ,  , , ,  , , ,  , , , 
3, 7, 10.412349915, 6, 0.213, 0.104, 100, 0.233, -0.024, 9, 0.236, 0.13, 69, 0.213, -0.104, -100, 0.233, 0.024, -9, 0.236, -0.13, -69,  , , ,  , , ,  , , ,  , , , 
3, 44, 15.4176515841, 6, 0.201, -0.143, -17, 0.235, -0.114, -28, 0.178, -0.145, -45, 0.201, 0.143, 17, 0.235, 0.114, 28, 0.178, 0.145, 45,  , , ,  , , ,  , , ,  , , , 
3, 2, 11.1127454363, 6, 0.201, -0.143, -17, 0.235, -0.114, -28, 0.178, -0.145, -45, 0.201, 0.143, 17, 0.235, 0.114, 28, 0.178, 0.145, 45,  , , ,  , , ,  , , ,  , , , 
3, 59, 11.201727854, 10, 0.236, 0.127, 11, 0.208, 0.074, 27, 0.246, 0.052, -19, 0.054, 0.108, 42, 0.222, 0.05, 6, 0.236, -0.127, -11, 0.208, -0.074, -27, 0.246, -0.052, 19, 0.054, -0.107, -42, 0.222, -0.05, -6, 
3, 56, 14.4780442449, 8, 0.201, -0.143, -17, 0.246, 0.052, -19, 0.054, 0.108, 42, 0.222, 0.05, 6, 0.201, 0.143, 17, 0.246, -0.052, 19, 0.054, -0.107, -42, 0.222, -0.05, -6,  , , ,  , , , 
3, 7, 10.412349915, 6, 0.213, 0.104, 100, 0.233, -0.024, 9, 0.236, 0.13, 69, 0.213, -0.104, -100, 0.233, 0.024, -9, 0.236, -0.13, -69,  , , ,  , , ,  , , ,  , , , 
3, 22, 12.5001399014, 2, 0.245, -0.108, -64, 0.245, 0.108, 64,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
3, 27, 8.36047498579, 2, 0.14, -0.143, -72, 0.14, 0.144, 72,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
3, 50, 9.43460793983, 2, 0.245, -0.108, 69, 0.245, 0.108, -69,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
